continuous_cols,categorical_cols,target_var
Name,Rating Agency Name,Rating
Symbol,Sector,
Date,,
currentRatio,,
quickRatio,,
cashRatio,,
daysOfSalesOutstanding,,
netProfitMargin,,
pretaxProfitMargin,,
grossProfitMargin,,
operatingProfitMargin,,
returnOnAssets,,
returnOnCapitalEmployed,,
returnOnEquity,,
assetTurnover,,
fixedAssetTurnover,,
debtEquityRatio,,
debtRatio,,
effectiveTaxRate,,
freeCashFlowOperatingCashFlowRatio,,
freeCashFlowPerShare,,
cashPerShare,,
companyEquityMultiplier,,
ebitPerRevenue,,
enterpriseValueMultiple,,
operatingCashFlowPerShare,,
operatingCashFlowSalesRatio,,
payablesTurnover,,
risk_free_rate,,
ten_yr_t_note_yield,,
stock_price,,
ytd_equity_return,,
last_div_amount,,
last_div_date,,
cpi_index,,
